Rayyan ID,DFA,title,key,no_clust,performance
rayyan-305067532,1,Sources of acoustic variation: implications for production specificity and call categorization in chacma baboon (Papio ursinus) grunts.,rayyan-305067532,,
rayyan-305067679,1,Dwarf mongoose alarm calls: investigating a complex non-human animal call.,rayyan-305067679,,
rayyan-305067770,0,Finding Meanings in Low Dimensional Structures: Stochastic Neighbor Embedding Applied to the Analysis of Indri indri Vocal Repertoire.,rayyan-305067770,,
rayyan-305068102,0,A non-human primate combinatorial system for long-distance communication.,rayyan-305068102,,
rayyan-380414578,1,Vocal repertoire of sooty mangabeys (Cercocebus torquatus atys) in the Taï National Park,rayyan-380414578,,
rayyan-380414579,1,"Vocal repertoire of Cebus capucinus: acoustic structure, context, and usage",rayyan-380414579,,
rayyan-380414581,1,Baboon vocal repertoires and the evolution of primate vocal diversity,rayyan-380414581,,
rayyan-380414583,1,"Vocal repertoire in the European badger (Meles meles): structure, context, and function",rayyan-380414583,,
rayyan-380414588,1,"Notes on vocalisations of giant otters in the flooded Igapó forests of Jaú National Park, Amazonas, Brazil",rayyan-380414588,,
rayyan-380414589,1,"The vocal repertoire of Formosan macaques, Macaca cyclopis: acoustic structure and behavioral context",rayyan-380414589,,
rayyan-380414611,0,Characterizing Vocal Repertoires—Hard vs. Soft Classification Approaches,rayyan-380414611,,
rayyan-380414613,1,Vocal acoustics in the endangered proboscis monkey (Nasalis larvatus),rayyan-380414613,,
rayyan-380414636,0,Graded or discrete? A quantitative analysis of Campbell's monkey alarm calls,rayyan-380414636,,
rayyan-380414646,0,CLASSIFICATION OF AFRICAN ELEPHANT LOXODONTA AFRICANA RUMBLES USING ACOUSTIC PARAMETERS AND CLUSTER ANALYSIS,rayyan-380414646,,
rayyan-380414654,1,Vocal Repertoire of Golden-backed Uakaris (Cacajao melanocephalus): Call Structure and Context,rayyan-380414654,,
rayyan-380414655,1,Western Gorilla Vocal Repertoire and Contextual Use of Vocalizations,rayyan-380414655,,
rayyan-380414661,0,Aerial Vocalizations by Wild and Rehabilitating Mediterranean Monk Seals (Monachus monachus) in Greece.,rayyan-380414661,,
rayyan-380414683,1,"Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids",rayyan-380414683,,
rayyan-380414740,0,Vervets revisited: A quantitative analysis of alarm call structure and context specificity,rayyan-380414740,,
rayyan-380414751,0,"Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya",rayyan-380414751,,
rayyan-380414770,1,Novel Glaucomys volans vocalizations in Indiana and evidence of geographic variation in high frequency communication,rayyan-380414770,,
rayyan-380414797,0,The structure of voice signals of Siberian chipmunk (Tamias sibiricus Laxmann 1769; Rodentia: Sciuridae),rayyan-380414797,,
rayyan-380414800,0,Pattern analysis of acoustical behavior in four species of ground squirrels,rayyan-380414800,,
rayyan-380414801,1,Vocalizations of Belding's ground squirrels (Spermophilus beldingi),rayyan-380414801,,
rayyan-305067471,1,Preliminary observations on squirrel monkey (Saimiri oerstedi) vocalizations in Costa Rica.,rayyan-305067471,,
rayyan-380414771,1,The vocal repertoire of Spermophilus tridecemlineatus,rayyan-380414771,,
rayyan-305067096,0,Vocal repertoire and individuality in the plains zebra (Equus quagga).,rayyan-305067096,,
rayyan-305067102,1,Characterising the harmonic vocal repertoire of the Indian wolf (Canis lupus pallipes).,rayyan-305067102,,
rayyan-305067117,1,The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis).,rayyan-305067117,,
rayyan-305067126,0,The vocal repertoire of the Key Largo woodrat (Neotoma floridana smalli).,rayyan-305067126,,
rayyan-305067392,1,The use of Artificial Neural Networks to classify primate vocalizations: A pilot study on black lemurs.,rayyan-305067392,,
rayyan-305067081,1,Vocal repertoire and auditory sensitivity of white-throated woodrats (Neotoma albigula).,rayyan-305067081,,
rayyan-305067127,1,Role of auditory feedback for vocal production learning in the Egyptian fruit bat.,rayyan-305067127,,
rayyan-305067139,0,A cooperatively breeding mouse shows flexible use of its vocal repertoire according to social context.,rayyan-305067139,,
rayyan-305067149,0,A quantitative acoustic analysis of the vocal repertoire of the common marmoset (Callithrix jacchus).,rayyan-305067149,,
rayyan-305067158,0,Vocal complexity in the long calls of Bornean orangutans.,rayyan-305067158,,
rayyan-305067169,0,Unsupervised discovery of family specific vocal usage in the Mongolian gerbil.,rayyan-305067169,,
rayyan-305067179,0,Social and vocal behavior in adult greater tube-nosed bats (Murina leucogaster).,rayyan-305067179,,
rayyan-305067202,1,Sex differences in the vocal repertoire of adult red-capped mangabeys (Cercocebus torquatus): A multi-level acoustic analysis.,rayyan-305067202,,
rayyan-305067253,1,Age- and sex-specific patterns of vocal behavior in De Brazza's monkeys (Cercopithecus neglectus).,rayyan-305067253,,
rayyan-305067318,0,"Vocal communication in adult greater horseshoe bats, Rhinolophus ferrumequinum.",rayyan-305067318,,
rayyan-305067342,0,Male rats emit aversive 44-kHz ultrasonic vocalizations during prolonged Pavlovian fear conditioning.,rayyan-305067342,,
rayyan-305067355,0,Ultrasonic signals associated with different types of social behavior of mice.,rayyan-305067355,,
rayyan-305067372,0,Primed to vocalize: Wild-derived male house mice increase vocalization rate and diversity after a previous encounter with a female.,rayyan-305067372,,
rayyan-305067430,0,Ultrasonic vocalizations in golden hamsters (Mesocricetus auratus) reveal modest sex differences and nonlinear signals of sexual motivation.,rayyan-305067430,,
rayyan-305067516,0,"Classification of vocalizations in the Mongolian gerbil, Meriones unguiculatus.",rayyan-305067516,,
rayyan-305067603,0,"Graded calls of the smallest terrestrial mammal, the Etruscan shrew, living in a closed habitat.",rayyan-305067603,,
rayyan-305067862,1,Social calls of flying big brown bats (Eptesicus fuscus).,rayyan-305067862,,
rayyan-308549144,1,"Vocal repertoire of the critically endangered white-headed langur ( Trachypithecus leucocephalus): Call types, acoustic structures, and related social-ecological contexts.",rayyan-308549144,,
rayyan-380414577,1,The vocal repertoire of the northern giant mouse lemur (Mirza zaza) in captivity,rayyan-380414577,,
rayyan-380414608,1,"Vocal Repertoire of Captive Capybara (Hydrochoerus hydrochaeris): Structure, Context and Function",rayyan-380414608,,
rayyan-380414610,1,The Vocal Repertoire of Pale Spear-Nosed Bats in a Social Roosting Context,rayyan-380414610,,
rayyan-380414612,1,The Vocal Repertoire of Two Sympatric Species of Nectar-Feeding Bats (Glossophaga soricina and G. commissarisi),rayyan-380414612,,
rayyan-380414615,1,Vocal repertoire of adult captive red pandas (Ailurus fulgens),rayyan-380414615,,
rayyan-380414623,1,The Structure and Usage of Female and Male Mouse Ultrasonic Vocalizations Reveal only Minor Differences,rayyan-380414623,,
rayyan-380414634,0,A Role for Ultrasonic Vocalisation in Social Communication and Divergence of Natural Populations of the House Mouse (Mus musculus domesticus),rayyan-380414634,,
rayyan-380414648,1,Analysis of acoustic elements and syntax in communication sounds emitted by mustached bats,rayyan-380414648,,
rayyan-380414649,0,Classification of communication signals of the little brown bat,rayyan-380414649,,
rayyan-380414679,0,Mouse vocal emission and acoustic complexity do not scale linearly with the size of a social group,rayyan-380414679,,
rayyan-380414692,0,Tolerant and intolerant macaques show different levels of structural complexity in their vocal communication,rayyan-380414692,,
rayyan-380414713,1,Single‐note vocalizations of California ground squirrels: Graded signals and situation‐specificity of predator and socially evoked calls,rayyan-380414713,,
rayyan-380414725,0,Ultrasonic Songs of Male Mice,rayyan-380414725,,
rayyan-380414727,0,MUPET—Mouse Ultrasonic Profile ExTraction: A Signal Processing Tool for Rapid and Unsupervised Analysis of Ultrasonic Vocalizations,rayyan-380414727,,
rayyan-380414783,0,"Stereotypic vocalizations in harvest mice (Reithrodontomys): harmonic structure contains prominent and distinctive audible, ultrasonic, and non-linear elements",rayyan-380414783,,
rayyan-380414805,1,Comparison of vocalizations between and within Spermophilus elegans elegans and S. richardsonii,rayyan-380414805,,
rayyan-305067161,0,Airborne vocal communication in adult neotropical otters (Lontra longicaudis).,rayyan-305067161,,
rayyan-305067259,0,"The acoustic repertoire and behavioural context of the vocalisations of a nocturnal dasyurid, the eastern quoll (Dasyurus viverrinus).",rayyan-305067259,,
rayyan-305067312,0,A novel theory of Asian elephant high-frequency squeak production.,rayyan-305067312,,
rayyan-305067419,1,Acoustic Structure and Contextual Use of Calls by Captive Male and Female Cheetahs (Acinonyx jubatus).,rayyan-305067419,,
rayyan-305067748,1,"Improving the workflow to crack Small, Unbalanced, Noisy, but Genuine (SUNG) datasets in bioacoustics: The case of bonobo calls.",rayyan-305067748,,
rayyan-305067789,1,Acoustic and behavioral repertoires of the hippopotamus (Hippopotamus amphibius).,rayyan-305067789,,
rayyan-380414576,1,The vocal repertoire of Barbary macaques: a quantitative analysis of a graded signal system,rayyan-380414576,,
rayyan-380414596,0,QUANTIFYING ACOUSTIC AND TEMPORAL CHARACTERISTICS OF VOCALIZATIONS FOR A GROUP OF CAPTIVE AFRICAN ELEPHANTS LOXODONTA AFRICANA,rayyan-380414596,,
rayyan-380414597,1,THE VOCAL REPERTOIRE IN NORTHERN WHITE RHINOCEROS CERATOTHERIUM SIMUM COTTONI AS RECORDED IN THE LAST SURVIVING HERD,rayyan-380414597,,
rayyan-380414614,1,"Vocal repertoire, individual acoustic distinctiveness, and social networks in a group of captive Asian small-clawed otters (Aonyx cinerea)",rayyan-380414614,,
rayyan-380414637,1,Small Mammals Ignore Common Rules: A Comparison of Vocal Repertoires and the Acoustics between Pup and Adult Piebald Shrews Diplomesodon pulchellum,rayyan-380414637,,
rayyan-380414642,1,Quantitative acoustic analysis of the vocal repertoire of the crowned lemur,rayyan-380414642,,
rayyan-380414657,1,The reliability of individual vocal signature varies across the bonobo's graded repertoire,rayyan-380414657,,
rayyan-380414662,1,"Classification of Captive North American River Otters (Lontra canadensis) Vocal Repertoires: Individual Variations, and Age Class Comparisons",rayyan-380414662,,
rayyan-380414673,0,Automatic classification and speaker identification of African elephant (Loxodonta africana) vocalizations,rayyan-380414673,,
rayyan-305067467,1,"Syllable acoustics, temporal patterns, and call composition vary with behavioral context in Mexican free-tailed bats.",rayyan-305067467,,
rayyan-380414723,0,DeepSqueak: a deep learning-based system for detection and analysis of ultrasonic vocalizations,rayyan-380414723,,
