k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
24/08/2025 06:22:52,rayyan-305067105,Vocal Repertoire and Intraspecific Variation within Two Loud Calls of the Small-Eared Greater Galago (Otolemur garnettii) in Tanzania and Kenya.,2019,Otolemur garnettii,small-eared greater galago,,Primates,Galagidae,field,group,Unknown,not reported,,1626,Hand,Yes,11,,,No,No,"2 subspecies: O. g. panganiensis, O. g. kikuyuensis",yes,,1023,Hamming,not reported,No,,,,Avisoft SASlab pro,7,Some,duration,"unit duration, inter unit interval, number of units",,,"min frequency, max frequency",,,peak harmonic,formants,,N/A,,,,No,
24/08/2025 06:44:20,rayyan-305067116,Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls,2015,Sapajus ﬂavius,blond capuchin,,Primates,Cebidae,field,group,Yes,129,,8373,Hand,Yes,29,2,,No,No,"Vocalizers for some types could not be ascertains, so could be more juvenile calls",yes,,1024,Hanning/Hann,not reported,No,,,,BatSound,12,Some,duration,number of units,,,,,,"peak frequency, max f0, min f0, f0 bandwidth, start f0, end f0, time to max f0, time max to end f0, number of harmonics, frequency interval from the highest frequency of the first harmonic to the lowest frequency of the second harmonic","F0, peak frequency, formants",,SPSS,DFA,features,,No,
22/10/2025 20:32:28,rayyan-305067129,Preliminary vocal repertoire and vocal communication of wild bonobos (Pan paniscus) at Lilungu (Democratic Republic of Congo).,1999,Pan paniscus,bonobo,,Primates, Hominidae,field,group,Yes,68,,not reported,Hand,Yes,15,,,No,No,,,,,,,,,,,not reported,2,,duration,,,,,,,frequency measures,,,N/A,,,,No,
17/08/2025 22:28:40,rayyan-305067163,"The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality.",2009,Cynictis penicillata,yellow mongoose,,Carnivora,Herpestidae,field,group,Yes,unclear,,377,Hand,Yes,10,,,No,No,,yes,,512,Hamming,87.5,Highpass,200,,Highpass applied for wind noise,Avisoft-SASLab Pro,10,Some,duration,,,,"peak frequency, fundamental frequency, bandwidth, Q25, Q50, Q75, entropy",,,"time to max (%), PF start",peak frequency,,not reported,DFA,features,language not noted,No,
24/08/2025 05:25:47,rayyan-305067190,Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire.,2013,Cervus elaphus hispanicus,Iberian stag,,Artiodactyla,Cervidae,field,group,No,13,,334,Automated,No,,,4,No,No,"For the purpose of the detailed acoustic comparisons between call types and between individuals, we extracted and analysed a smaller set of 82 bouts (144 calls) from 6 males recorded at closer distances (ranging from 49 m to 106 m)",,,1323,Gaussian,,No,,,,Praat,20,All,duration,"unit duration, Number of units into bout, position in bout",,"mean F0, max F0, min F0, range F0",,,,"occurence of deterministic chaos, centre of first 8 formants, formant dispersion, estimated vocal tract length, relative intensite of call (dB)","formants, amplitude",,R,"DFA, agglomerative hierarchical clustering, LMM",features,,Yes,CC BY 4.0
06/10/2025 21:47:42,rayyan-305067201,Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons.,2013,Papio papio,Guinea baboon,,Primates,Cercopithecidae,field,group,Unknown,30,4420,1215,"Hand, Automated",Yes,5,,6,No,No,,yes,,1024,Hanning/Hann,96.4,No,,,,LMA,9,No,duration,,,,,,,Distribution of frequency amplitudes; Modulation of the first dominant frequency band; bandwidth; Trend of the peak frequency; Consistency of time segments; mean F0; Noisiness (% non-harmonic); HNR,F0,,SPSS,"DFA, two-step clustering",features,,Yes,CC BY 2.0
10/10/2025 07:41:36,rayyan-305067210,The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure.,2014,Cercopithecus mitis stulmanni,blue monkey,,Primates,Cercopithecidae,field,group,Unknown,32,1171,772,Hand,No,6,,,Yes,No,only males,yes,,1024,Hanning/Hann,,No,,,,Raven Pro,18,Some,duration,"inter unit interval, number of units",3-7 location for formant,,,"max/peak frequency, center frequency",,"start F0; middle F0; end F0; rise time; min F0; max F0; start F0; middle F0, end F0; total slope F0; first half slope F0; second half slope F0; DF1-F0; DF2-DF1","F0, formants",,R,"DFA, PCA, agglomerative hierarchical clustering",features,,No,
10/10/2025 15:52:01,rayyan-305067231,"Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation.",2019,Lepilemur sahamalaza,Sahamalaza sportive lemurs,,Primates,Lepilemuridae,field,group,Unknown,,,698,Hand,Yes,12,,,Yes,No,"17 collared individuals, further ad libitum included",yes,,1024,Flattop,87.5,Highpass,50,,,Avisoft-SASLab Pro,24,Some,duration,"inter unit interval, number of units",start; end; mean; maximum,,"peak frequency, min frequency, max frequency, bandwidth, Q50",,,"start PF - max PF; end PF - max PF; modulation coefficient; structure (tonal, etc)",,,not reported,"DFA, PCA, hierarchical clustering",features,,No,
11/10/2025 20:26:01,rayyan-305067274,"Comparative study of vocal communication in two Asian leaf monkeys, Presbytis johnii and Presbytis entellus.",1989,Presbytis johnii,Nilgiri langur,,Primates,Cercopithecidae,field,group,Yes,57,,651,Hand,Yes,18,1,,Yes,No,,,,,,,,,,,non reported,5,Some,,,,,,,,Mean F0; F0 modulation; bandwidth (including harmonics); number of peaks; difference between highest and lowest peak F0,F0,,N/A,,,,No,
11/10/2025 22:39:38,rayyan-305067281,Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging.,2019,Myotis macrodactylus,big-footed myotis,,Chiroptera,Vespertilionidae,field,group,Unknown,,,3619,Hand,No,8,,,No,No,,yes,,1024,,93.75,No,,,,Avisoft-SASLab Pro,10,No,duration,,,,"peak frequency, min frequency, max frequency, bandwidth, Q25, Q50, Q75",,,start freq; end freq,,,SPSS,"DFA, PCA",features,,No,
12/10/2025 20:28:24,rayyan-305067326,The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations,1998,Macaca mulatta,rhesus monkey,,Primates,Cercopithecidae,field,group,Unknown,unclear,,2060,Hand,No,4,,,No,No,,,,1024,Hamming,,Lowpass,,10000,,CANARY,15,Some,duration,"unit duration, inter unit interval, number of units",,,,,,"peak time; min F0; max F0; start F0, middle F0; end F0; F0 slope; end/start F0; end/middle F0; middle/begin F0; max/min F0; middle/max F0",F0,,Interactive Laboratory System; NCSS,"LDA, linear predictive coding",spectrogram,,No,
13/10/2025 22:00:40,rayyan-305067332,The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference.,2017,Microcebus sambiranensis,Sambirano mouse lemur,,Primates,Cheirogaleidae,field,group,Unknown,,,71,Hand,Yes,5,,,No,Upon request,,yes,,,,,,,,nothing reported,Avisoft-SASLab Pro,15,Some,duration,inter unit interval,mean; start; end,,"peak frequency, min frequency, max frequency, bandwidth",,,time to max PF,peak frequency,,SPSS,"DFA, PCA",features,,Yes,CC BY 4.0
12/10/2025 22:55:37,rayyan-305067337,"Acoustically diverse vocalization repertoire in the Himalayan leaf-nosed bat, a widely distributed Hipposideros species.",2016,Hipposideros armiger,Himalayan leaf-nosed bat,,Chiroptera,Hipposideridae,field,group,Unknown,,,,"Hand, Automated",Yes,35,,18,No,No,Automated repertoire only for simple syllables,yes,,1024,Hamming,93.75,No,,,,not reported,10,No,duration,,,,,,,peak freq; min freq; max freq; bandwidth; time to peak freq; time to max freq; center freq; fmax-bandwidth/2); number of harmonics,F0,"multi-syllable calls, but only individual syllables considered; 10 parameters for further analysis, a few qualitative additional features not used for analysis",JMP Pro,"LDA, K-means clustering, MDS",features,,No,
13/10/2025 22:12:42,rayyan-305067339,Context-related call combinations in female Diana monkeys.,2012,Cercopithecus diana diana,Diana monkey,,Primates,Cercopithecidae,field,group,Yes,,,2129,Hand,No,4,,,,No,females only; explicitly not graded repertoire,yes,,,,,,,,None mentioned,Raven Pro,3,Some,duration,,,,,,,F0 min; F0 max,F0,,SPSS,DFA,features,,No,
03/11/2025 11:35:49,rayyan-305067351,Comparative analyses of age- and sex-specific patterns of vocal behaviour in four species of Old World monkeys.,1991,Macaca silenus,lion-tailed macaque,,Primates,Cercopithecidae,field,group,Yes,42,,,Hand,Yes,21,5,,Yes,No,,yes,,,,,,,,not reported,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
15/10/2025 11:04:08,rayyan-305067386,Do sexual calls in female black capuchin monkeys (Sapajus nigritus) vary with fertility? An acoustic analysis.,2018,Sapajus nigritus,black capuchin,,Primates,Cebidae,field,group,Unknown,12,,210,Hand,No,7,,,No,No,female sexual calls onlyl,yes,,512,Hamming,87.5,,,,,Avisoft-SASLab Pro,22,Some,duration,"unit duration, inter unit interval, number of units, unit range (units/s), Flat frequency unit rate; proportion flat frequency units; downsweep unit rate; proportion downsweeps; concave unit rate; proportion concaves; upsweep rate; proportion upsweeps; waveform unit rate; proportion waveforms; noisy unit rate; proportion noisy",,,,,,bout rate; units/sequences; different units per sequence,,,SPSS,"PCA, two-step clustering",features,,No,
15/10/2025 11:49:40,rayyan-305067394,Vocalizations of wild Asian elephants (Elephas maximus): structural classification and social context.,2009,Elephas maximus,Asian elephant,,Proboscidea,Elephantidae,field,group,Yes,154,371,258,Hand,Yes,4,,,Yes,No,,yes,,,,,,,,nothing reported,"MATLAB, Praat",16,Some,duration,,,"mean F0, max F0, min F0, range F0, start f0, end f0",,,,max freq; min freq; HNR; Frequencies of the first through seventh spectral peaks in the LPC spectrum; Amplitudes of the first through seventh spectral peaks in the LPC spectrum; Rumble peaks; time to max F0; time to min F0; Frequency change per unit time for the fourth harmonic,"F0, formants, amplitude",,Statistica,UPGMA,features,,No,
27/10/2025 22:08:28,rayyan-305067426,Vocalizations of howler monkeys (Alouatta palliata) in southwestern Panama.,1976,Alouatta palliata,howler monkey,,Primates,Atelidae,field,group,Yes,151,,,Hand,Yes,26,,,Yes,No,,,,,,,,,,no further analysis,N/A,,,,,,,,,,,,,N/A,,,,No,
29/10/2025 08:57:14,rayyan-305067514,Acoustic structure of forest elephant rumbles: a test of the ambiguity reduction hypothesis.,2019,Loxodonta cyclotis,forest elephant,,Proboscidea,Elephantidae,field,group,Unknown,unknown,,686,Automated,No,,,,Yes,Upon request,repertoire size 5-8,yes,,,Hanning/Hann,,Yes,10,250,,Raven Pro,21,No,duration,,,,,"max/peak frequency, center frequency, center time, 1st quartile time, 3rd quartile time, duration 90%",,F2 center freq; difference between F2 and F1 center freq; F1 max; F1 min; F1 range; F1 average; time to max F1; time to min F1; start slope; mid slope; end slope; end freq; max/ave F1; ave/min F1; coefficient of freq modulation; jitter factor; freq range/(mean freq)^2,formants,Analysis of F1 instead of F0,R,"DFA, PCA, GMM",features,,No,
29/10/2025 12:33:44,rayyan-305067532,Sources of acoustic variation: implications for production specificity and call categorization in chacma baboon (Papio ursinus) grunts.,2011,Papio ursinus,Chacma baboon,,Primates,Cercopithecidae,field,group,Yes,30,,2306,Hand,No,4,,,Yes,No,,yes,,1024,Hamming,98.43,,,,,LMA; Praat,16,No,duration,,,,,,,mean F0; time to max F0; F0 trend; PF mean; bandwidth; Q25; dominant frequency band; amplitude F1/F0; HNR; percent tonal; mean freq F1-4,"F0, peak frequency, formants",,not reported,DFA,features,,No,
04/11/2025 17:12:28,rayyan-305067587,Does Social Complexity Drive Vocal Complexity? Insights from the Two African Elephant Species,2021,Loxodonta africana,African savanna elephant,,Proboscidea,Elephantidae,field,group,Yes,53,6642,1177,Hand,Yes,unclear,,,Yes,Upon request,,yes,,,,,,,,not further reported,Signal,unclear,,duration,,,,,,,,,"Unclear what measurements taken: ""we used Signal 4.0 to take acoustic measurements.""",N/A,,,,Yes,CC BY 4.0
04/11/2025 17:23:52,rayyan-305067587,Does Social Complexity Drive Vocal Complexity? Insights from the Two African Elephant Species.,2021,Loxodonta cyclotis,African forest elephant,,Proboscidea,Elephantidae,field,group,Yes,32,524,246,Hand,Yes,6,,,Yes,Upon request,,yes,,1224,Hanning/Hann,,No,,,,Raven Pro,unclear,,,,,,,,,,,,not reported,DFA,,,Yes,CC BY 4.0
12/01/2026 21:50:49,rayyan-305067676,Chimpanzees produce diverse vocal sequences with ordered and recombinatorial properties.,2022,Pan troglodytes,chimpanzee,,Primates,Hominidae,field,,No,46,,4826,Hand,Yes,12,,,Yes,Upon request,,yes,,,,,,,,not further reported,N/A,,,,,,,,,,,,,N/A,,,,Yes,CC BY 4.0
03/11/2025 12:54:33,rayyan-305067679,Dwarf mongoose alarm calls: investigating a complex non-human animal call,2020,Helogale parvula,dwarf mongoose,,Carnivora,Herpestidae,field,group,Unknown,,,105,Hand,No,3,,,No,"Yes, preprocessed",,yes,,,,,,,,not reported,Luscinia,28,Some,duration,"inter unit interval, number of units",First and second half for T3 calls,,,,,peak freq; mean peak freq; max peak freq; min peak freq; peak freq start; peak freq end; mean F0; max F0; mean F0; change in peak freq; change in peak freq end; change in F0; min change F0; change F0 start; change F0 end; max F0 absolute change; min F0 absolute change; absolute change F0 start; absolute change F0 end; mean ent; max ent; start ent; mean freq bandwidth; max freq bandwidth; min freq bandwidth; end freq bandwidth,"F0, peak frequency",,R,DFA,features,,Yes,
06/11/2025 12:26:25,rayyan-305067770,Finding Meanings in Low Dimensional Structures: Stochastic Neighbor Embedding Applied to the Analysis of Indri indri Vocal Repertoire.,2019,Indri indri,indri,,Primates,Indriidae,field,group,Unknown,,,3360,"Hand, Automated",Yes,10,,8,Yes,No,,yes,,,,,Yes,50,15000,settings not reported,Praat,151,,duration,,"For each portion, the frequency range between 50 Hz and 15,000 Hz was divided into sets of frequencies called bins or bands (e.g., 50–500 Hz, 501–1000 Hz, 1001–1500 Hz, and 2001–2500 Hz). For each bin, we extracted the energy value using the function ‘Get band energy’ in Praat.",,,,,band energy,,,R; WEKA,t-SNE; multi-layer perceptron,features,,Yes,CC BY 4.0
04/11/2025 15:27:00,rayyan-305067800,"The ""Law of Brevity"" in animal communication: Sex-specific signaling optimization is determined by call amplitude rather than duration.",2019,Procavia capensis,rock hyrax,,Hyracoidea,Procaviidae,field,"group, solitary",No,19,,,Hand,Yes,14,,,Yes,"Yes, preprocessed",,no,,512,Hamming,,,,,,Avisoft SASLabPro,2,,duration,,,,,,,mean amplitude,amplitude,,N/A,,,,Yes,CC BY 4.0
17/08/2025 19:47:30,rayyan-305068102,A non-human primate combinatorial system for long-distance communication,2024,Procolobus verus,Olive colobus monkey,,Primates,Cercopithecidae,field,group,Unknown,not reported,,,Automated,Yes,,,2,No,"Yes, preprocessed",,no,,2048,Hanning/Hann,,,,,,Raven Pro,2,No,duration,,,,,max/peak frequency,,,,,R,Partitioning Around Medoids (PAM) clustering,features,,Yes,CC BY 4.0
23/12/2025 20:01:55,rayyan-380414578,Vocal repertoire of sooty mangabeys (Cercocebus torquatus atys) in the Taï National Park,2004,Cercocebus atys,sooty mangabey,,Primates,Cercopithecidae,field,group,Yes,48,,163,Hand,Yes,19,,,No,No,,,,1024,,,,,,,LMA,12,Some,duration,"number of units, unit range (units/s)",,,,,,"Df1chfre (number of times the course of the first dominant frequency band crosses the smoothed average); Df1fretr (Regression function describing the trend of the 1st dominant frequency band); time to max F1;  
F1 mean;  F2 mean; F1 1st quartile; F1 second quartile; freq bandwidth; mean freq bandwidth",formants,,SPSS,DFA,features,,Yes,
28/12/2025 09:35:54,rayyan-380414579,"Vocal repertoire of Cebus capucinus: acoustic structure, context, and usage",2008,Cebus capucinus,white-faced capuchin,,Primates,Cebidae,field,group,Unknown,,,,Hand,Yes,27,2,,Yes,No,,,,1024,Hanning/Hann,,,,,,LMA,14,Some,duration,"inter unit interval, number of units",,,,,,first dominant start freq; end freq; mean freq; second dominant start freq; end freq; mean freq; freq bandwidth; freq at Q1 of amp; freq at Q2 of freq; overall amplitude;  mean frequency of amplitude distribution for the first quartile; second quartile of amplitude distribution; 1/call duration (ms) × location of peak frequency (ms); min amplitude loc,"dominant frequency, amplitude",,SPSS,"DFA, PCA",features,,No,
13/01/2026 11:57:29,rayyan-380414581,Baboon vocal repertoires and the evolution of primate vocal diversity,2019,Papio ursinus,chacma baboon,,Primates,Cercopithecidae,field,group,Unknown,79,,675,Automated,Yes,,,6,Yes,No,,yes,,,,,,,,,LMA,9,No,duration,,,,,,,mean F0; Q2 freq; Mean difference between regression function andactual value of the DFB1; time seg consistency; Mean difference across all time segments; Mean difference between regression function andactual value of the PF; noise %; Harmonic to noise ratio in the first third of the overallcall frequency (1 = no noise),"F0, peak frequency",,SPSS,"DFA, two-step clustering",features,,No,
04/01/2026 08:58:39,rayyan-380414583,"Vocal repertoire in the European badger (Meles meles): structure, context, and function",1999,Meles meles,European badger,,Carnivora,Mustelidae,field,group,Yes,,,594,Hand,Yes,16,8,,Yes,No,,yes,,,,,,,,,Waves+,4,Some,duration,"inter unit interval, number of units",,,,,,F0 bandwidth,F0,,SPSS,"DFA, agglomerative hierarchical clustering",features,,No,
08/12/2025 10:15:28,rayyan-380414585,"Vocalizations of the American pine marten, Martes americana",1978,Martes americana,American marten,,Carnivora,Mustelidae,field,solitary,No,5,,113,Hand,No,7,,,Yes,No,,,,,,,Yes,60,16000,,Kay Sona-Graph,2,,duration,,,,,,,fundamental freq,F0,,N/A,,,,No,
10/12/2025 17:44:17,rayyan-380414587,"Vocalizations of the least weasel, Mustela nivalis",1968,Mustela nivalis,least weasel,,Carnivora,Mustelidae,field,"group, solitary",No,4,,,Hand,No,4,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
21/12/2025 20:29:05,rayyan-380414588,"Notes on vocalisations of giant otters in the flooded Igapó forests of Jaú National Park, Amazonas, Brazil",2011,Pteronura brasiliensis,giant otter,,Carnivora,Mustelidae,field,group,Yes,,,24,Hand,No,5,1,,No,No,,no,,1024,Hanning/Hann,,,,,,BatSound,10,Some,duration,number of units,,,,,,max freq; min freq; start freq; end freq; freq bandwidth; time to max; time max to end; peak freq,peak frequency,,SPSS,DFA,features,,No,
19/12/2025 06:56:55,rayyan-380414589,"The vocal repertoire of Formosan macaques, Macaca cyclopis: acoustic structure and behavioral context",2005,Macaca cyclopis,Formosan macaque,,Primates,Cercopithecidae,field,group,Yes,63,,,Hand,Yes,25,5,,Yes,No,"Unclear about license, but paper freely available as pdf from publisher",,,1024,Hamming,,,,,,Canary,9,Some,duration,,,,,,,min F0; max F0; highest freq; lowest freq; peak freq; median F0; bandwidth F0; freq range,F0,,Statistical Analysis System,DFA,features,,Yes,unclear
18/11/2025 21:38:58,rayyan-380414591,A preliminary study of vocal communication in wild long-tailed macaques (Macaca fascicularis). I. Vocal repertoire and call emission,1992,Macaca fascicularis,long-tailed macaque,,Primates,Cercopithecidae,field,group,Yes,17,,160,Hand,Yes,18,2,,Yes,No,,,,,,,Yes,,,"bandpass variable, 80-8000 and 160-16000 Hz",Kay Sonograph,5,,duration,,,,,,,ave freq; min freq; max freq; total call energy,dominant frequency,,N/A,,,no futher analysis,No,
22/12/2025 20:20:14,rayyan-380414592,Vocal communication of wild bonnet macaques (Macaca radiata),1989,Macaca radiata,bonnet macaque,,Primates,Cercopithecidae,field,group,Yes,120,,1480,Hand,Yes,25,9,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,5,,duration,,,,,,,mean F0; modulation F0; freq bandwidth; range of main energy,F0,,N/A,,,,No,
10/12/2025 09:18:46,rayyan-380414593,Vocal communication of the wild Japanese monkey,1963,Macaca fuscata,Japanese macaque,,Primates,Cercopithecidae,field,group,Yes,,,,Hand,Yes,37,6,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
14/01/2026 16:35:57,rayyan-380414595,"First observations on colony structure, behavior and vocal repertoire of the South American fur seal (Arctocephalus australis, Zimmermann 1783) in Peru",1981,Arctocephalus australis,South American fur seal,,Carnivora,Otariidae,field,group,Yes,,,,,Yes,4,1,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,Yes,CC BY-NC-SA 3.0
